"rgn_id","species_name","IUCN"
31,"Spinachia spinachia","LC"
14,"Spinachia spinachia","LC"
15,"Spinachia spinachia","LC"
16,"Spinachia spinachia","LC"
17,"Spinachia spinachia","LC"
11,"Spinachia spinachia","LC"
12,"Spinachia spinachia","LC"
13,"Spinachia spinachia","LC"
36,"Spinachia spinachia","LC"
26,"Spinachia spinachia","LC"
20,"Spinachia spinachia","LC"
21,"Spinachia spinachia","LC"
22,"Spinachia spinachia","LC"
23,"Spinachia spinachia","LC"
24,"Spinachia spinachia","LC"
25,"Spinachia spinachia","LC"
1,"Squalus acanthias","CR"
2,"Squalus acanthias","CR"
1,"Symphodus melops","LC"
2,"Symphodus melops","LC"
5,"Symphodus melops","LC"
6,"Symphodus melops","LC"
3,"Symphodus melops","LC"
4,"Symphodus melops","LC"
1,"Syngnathus acus","LC"
2,"Syngnathus acus","LC"
5,"Syngnathus acus","LC"
6,"Syngnathus acus","LC"
3,"Syngnathus acus","LC"
4,"Syngnathus acus","LC"
18,"Syngnathus typhle","LC"
19,"Syngnathus typhle","LC"
1,"Syngnathus typhle","LC"
2,"Syngnathus typhle","LC"
5,"Syngnathus typhle","LC"
6,"Syngnathus typhle","LC"
32,"Syngnathus typhle","LC"
33,"Syngnathus typhle","LC"
34,"Syngnathus typhle","LC"
27,"Syngnathus typhle","LC"
28,"Syngnathus typhle","LC"
9,"Syngnathus typhle","LC"
10,"Syngnathus typhle","LC"
7,"Syngnathus typhle","LC"
8,"Syngnathus typhle","LC"
3,"Syngnathus typhle","LC"
3,"Syngnathus typhle","LC"
4,"Syngnathus typhle","LC"
37,"Syngnathus typhle","LC"
38,"Syngnathus typhle","LC"
35,"Syngnathus typhle","LC"
36,"Syngnathus typhle","LC"
29,"Syngnathus typhle","LC"
30,"Syngnathus typhle","LC"
31,"Syngnathus typhle","LC"
14,"Syngnathus typhle","LC"
15,"Syngnathus typhle","LC"
16,"Syngnathus typhle","LC"
17,"Syngnathus typhle","LC"
11,"Syngnathus typhle","LC"
12,"Syngnathus typhle","LC"
13,"Syngnathus typhle","LC"
36,"Syngnathus typhle","LC"
26,"Syngnathus typhle","LC"
20,"Syngnathus typhle","LC"
21,"Syngnathus typhle","LC"
22,"Syngnathus typhle","LC"
23,"Syngnathus typhle","LC"
24,"Syngnathus typhle","LC"
25,"Syngnathus typhle","LC"
1,"Taurulus bubalis","LC"
2,"Taurulus bubalis","LC"
5,"Taurulus bubalis","LC"
6,"Taurulus bubalis","LC"
32,"Taurulus bubalis","LC"
33,"Taurulus bubalis","LC"
34,"Taurulus bubalis","LC"
27,"Taurulus bubalis","LC"
28,"Taurulus bubalis","LC"
9,"Taurulus bubalis","LC"
10,"Taurulus bubalis","LC"
7,"Taurulus bubalis","LC"
8,"Taurulus bubalis","LC"
3,"Taurulus bubalis","LC"
3,"Taurulus bubalis","LC"
4,"Taurulus bubalis","LC"
37,"Taurulus bubalis","LC"
38,"Taurulus bubalis","LC"
35,"Taurulus bubalis","LC"
36,"Taurulus bubalis","LC"
29,"Taurulus bubalis","LC"
30,"Taurulus bubalis","LC"
31,"Taurulus bubalis","LC"
14,"Taurulus bubalis","LC"
15,"Taurulus bubalis","LC"
16,"Taurulus bubalis","LC"
17,"Taurulus bubalis","LC"
11,"Taurulus bubalis","LC"
12,"Taurulus bubalis","LC"
13,"Taurulus bubalis","LC"
36,"Taurulus bubalis","LC"
26,"Taurulus bubalis","LC"
20,"Taurulus bubalis","LC"
21,"Taurulus bubalis","LC"
22,"Taurulus bubalis","LC"
23,"Taurulus bubalis","LC"
24,"Taurulus bubalis","LC"
25,"Taurulus bubalis","LC"
32,"Thymallus thymallus","CR"
33,"Thymallus thymallus","CR"
34,"Thymallus thymallus","CR"
41,"Thymallus thymallus","CR"
42,"Thymallus thymallus","CR"
39,"Thymallus thymallus","CR"
40,"Thymallus thymallus","CR"
37,"Thymallus thymallus","CR"
38,"Thymallus thymallus","CR"
1,"Trachinus draco","LC"
2,"Trachinus draco","LC"
5,"Trachinus draco","LC"
6,"Trachinus draco","LC"
3,"Trachinus draco","LC"
4,"Trachinus draco","LC"
32,"Triglopsis quadricornis","LC"
33,"Triglopsis quadricornis","LC"
34,"Triglopsis quadricornis","LC"
27,"Triglopsis quadricornis","LC"
28,"Triglopsis quadricornis","LC"
41,"Triglopsis quadricornis","LC"
