latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Ilybius aenescens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ilybius ater;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ilybius fenestratus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ilybius guttiger;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ilybius subaeneus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ilyocoris cimicoides;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;
Ilyodrilus templetoni;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Inachus dorsettensis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inachus phalangium;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iothia fulva;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iphimedia obesa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iphinoe serrata;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ischnura elegans;;;;;;;;;;;;;;;;;X;X;;;;;;;;;X;X;;;;X;
Ischyrocerus anguipes;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Ischyrocerus megacheir;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Isochaetides michaelseni;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Jaera (Jaera) albifrons;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;
Jaera (Jaera) sarsi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Janira maculosa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jassa falcata;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jassa herdmani;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Jassa pusilla;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kefersteinia cirrata;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Kellia suborbicularis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kelliella miliaris;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kinetoskias smitti;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kirchenpaueria pinnata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurtiella bidentata;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Labidoplax buskii;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laccobius bipunctatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Laccobius decorus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Laccophilus hyalinus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;
Lacuna pallidula;X;X;X;;X;X;;;;;;;;;;;;;;;X;X;;X;X;;;;;;;;
Lacuna parva;;;X;;X;X;;;;;;;;;;;;;;;X;;;;;X;;;;;;;
Lacuna vincta;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Laetmonice filicornis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laevicardium crassum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lafoea dumosa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lafoeina tenuis;;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagis koreni;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;
Lamellaria perspicua;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamprodrilus isoporus ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Lamprops fasciatus;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lanassa venusta;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lanice conchilega;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Laomedea calceolifera;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laomedea flexuosa;;X;;;;X;X;X;X;;X;;;;;;X;;X;X;X;X;X;X;;;;;X;X;;;
Laonice bahusiensis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laonice cirrata;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laonome kroeyeri;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Leanira hystricis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lekanesphaera hookeri;X;X;X;X;;X;X;X;X;X;;;;;;;;X;;X;X;X;X;X;X;;;X;X;X;X;;
Lekanesphaera rugicauda;X;X;X;X;X;X;X;X;X;;;;;;;;;X;;X;X;X;X;;X;;X;X;X;X;X;;
Lembos websteri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lepeta caeca;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lepidochitona (Lepidochitona) cinerea;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Lepidonotus squamatus;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Lepidostoma hirtum;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;;
Leptasterias (Leptasterias) muelleri;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptasterias danica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptocerus tineiformis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Leptocheirus hirsutimanus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptocheirus pilosus;;;;;X;X;X;X;X;;X;;X;X;;;X;X;X;X;X;X;X;;X;;;X;X;X;X;;
Leptochiton alveolus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptochiton asellus;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptochiton sarsi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptognathia breviremis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptomysis gracilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptomysis mediterranea;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Lepton squamosum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptopentacta elongata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptoplana tremellaris;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptostylis ampullacea;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptostylis longimana;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptostylis villosa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptosynapta decaria;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptosynapta inhaerens;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lestes dryas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Lestes sponsa;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;X;
Leuckartiara octona;X;X;;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;
Leucon (Leucon) fulvus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucon (Leucon) nasica;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucon acutirostris;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucorrhinia pectoralis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Leucosolenia complicata;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucosolenia fragilis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucothoe incisa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucothoe lilljeborgi;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leucothoe spinicarpa;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Levinsenia gracilis;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;;X;;X;;;;;;;
Libellula quadrimaculata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;
Lichenopora verrucaria;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ligia oceanica;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Liljeborgia macronyx;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limacia clavigera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limapontia capitata;;;X;;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;;X;;;;X;X;X;;
Limapontia depressa;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limaria loscombii;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limatula gwyni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limatula subauriculata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limnephilus affinis;;;;;;;;;;;;X;X;X;;X;X;;X;;;;;;;;;;;;;;
Limnephilus auricula;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;
Limnephilus borealis;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Limnephilus decipiens;;;;;;;;;;;;X;X;X;;X;X;;;;;;;;;;;;;;;;
Limnephilus extricatus;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Limnephilus flavicornis;;;;;;;;;;;;X;X;;;X;X;;X;;;;;;;;;X;;;;;
Limnephilus griseus;;;;;;;;;;;;X;X;X;;X;X;;;;;;;;;;;;;;;;
Limnephilus lunatus;;;;;;;;;;;;X;X;X;;;X;;;;;;;;;;;;;;;;
Limnephilus luridus;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;
Limnephilus marmoratus;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;
Limnephilus politus ;;;;;;;;;;;;X;X;X;;X;X;;;;;;;;;;;;;;;;
Limnephilus rhombicus;;;;;;;;;;;;X;X;X;;X;X;;;X;;;;;;;;;;;;;
Limnephilus sparsus;;;;;;;;;;;;X;X;;;X;X;;X;;;;;;;;;;;;;;
Limnephilus stigma;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;X;
Limnephilus subcentralis;;;;;;;;;;;;;X;X;;X;X;;;;;;;;;;;;;;;;
Limnodrilus claparedeanus;;;;;;;;;;;;;;;;;X;;X;;;X;;;;;;X;;;X;X;
Limnodrilus hoffmeisteri;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;X;;;X;X;
Limnodrilus profundicola;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;
Limnodrilus udekemianus;;;;;;;;;;;;;;X;;X;X;;;;;X;;;;;;X;;;X;X;
Limnomysis benedeni;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Limnophyes hydrophilus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Limnophyes minimus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Limnoporus rufoscutellatus;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
Limnoria lignorum;X;;;;;X;;;;;;;;;;;;;;;;;X;;;X;;;;;;;
Lineus bilineatus;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Lineus longissimus;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lineus pseudoruber;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lineus ruber;;X;;X;X;X;X;X;X;X;;;;;;;;X;;X;X;;X;X;;;;X;X;X;;;
Lineus viridis;;;;;X;X;X;;;;;;;;;;;;;;X;;;;;;;;;;;;
Liocarcinus depurator;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liocarcinus holsatus;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liocarcinus navigator;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liocarcinus pusillus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lipobranchus jeffreysii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lithodes maja;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lithoglyphus naticoides;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X;
Littorina littorea;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;X;;;
Littorina obtusata;X;;X;X;X;X;X;;;;;;;;;;;;;;X;X;;;;X;;;;;;;
Littorina saxatilis;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;X;;;
Lophopus crystallinus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
Loxorhynchus crispatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucinoma borealis;X;;X;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Luidia sarsi;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lumbricillus arenarius;;;;;X;X;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;;
Lumbricillus helgolandicus;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Lumbricillus lineatus;;;;;X;X;X;X;;;;;;;;;X;X;;X;X;X;X;X;X;;;X;X;X;X;;
Lumbricillus semifuscus;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Lumbriclymene cylindricaudata;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Lumbriculus variegatus;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;X;;;;X;
Lumbrineris fragilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lumbrineris gracilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lumbrineris impatiens;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lumbrineris magnidentata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lumbrineris scopa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lumbrineris tetraura;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lymnaea stagnalis;;;;;;;;;X;X;X;X;X;X;X;X;X;;X;X;;;;;X;;X;X;;;X;X;
Lype phaeopa;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Lysilla loveni;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lysippe labiata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macoma balthica;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Macoma calcarea;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;;;X;;X;;;;;;;
Macropelopia nebulosa ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Macropipus tuberculatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macroplea mutica;;;;X;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;
Macroplea pubipennis;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;;
Macropodia deflexa;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macropodia linaresi;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macropodia rostrata;X;X;;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Macrostomum appendiculatum;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
Mactra stultorum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maera loveni;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magelona alleni;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magelona filiformis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magelona minuta;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magelona mirabilis;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malacobdella grossa;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;X;;;X;;;;;;;
Malacoceros fuliginosus;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malacoceros fuliginosus;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malacoceros tetracerus;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Maldane sarsi;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malmgreniella andreapolis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malmgreniella arenicolae;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Malmgreniella glabra;X;X;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Malmgreniella ljungmani;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malmgreniella lunulata;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malmgreniella mcintoshi ;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manayunkia aestuarina;;;;X;;X;X;X;;;X;X;X;X;;;X;X;X;X;X;X;;;X;;X;X;X;X;X;;
Mangelia attenuata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mangelia costata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marenzelleria arctia;;;;;;;;;;;;X;;X;;;X;;;;;;;;;;;;;;;;
Marenzelleria neglecta;;;;;X;X;X;X;X;;X;X;;X;;;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;
Marenzelleria viridis;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;;;X;;X;X;X;;
Margarites helicinus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marionina spicula;;;;;;;X;X;X;;;;;;;;X;X;X;;;X;X;;;;;;;;;;
Marshallora adversa;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marstoniopsis scholtzi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Marthasterias glacialis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Medicorophium affine;X;X;;X;X;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;
Mediomastus fragilis;;X;;;X;X;X;;;;;;;;;;;;;;X;;;;;;;;;;;;
Megaluropus agilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megamphopus cornutus;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megastomia conoidea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melanella conoidea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melanella lubrica;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melanella polita;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melanella pyramidalis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melanella sinuosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melicertum octocostatum;;;;;X;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Melinna cristata;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melita dentata;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melita palmata;X;X;X;X;X;X;X;X;X;;X;;;;;;;;X;X;X;X;;;X;X;;X;X;X;;;
Melphidippa borealis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melphidippella macra;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Membranipora membranacea;X;X;;;;X;X;X;;;;;;;;;;;;;X;X;;;;;;;X;;X;;
Membraniporella nitida;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mendicula ferruginosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merona cornucopiae;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesopodopsis slabberi;X;X;;;X;X;X;X;X;;;;;;;;;;;;X;;X;;;;;;;;;;
Mesovelia fuscata;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;
Metacnephia crassifistula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Metopa alderi;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Metopa pusilla;X;;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Metridium senile;X;X;;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Microchironomus conjugens;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Microchironomus tener;;;;;;;;;;;;;;X;X;;X;;;;;;;;;;X;;;;;;
Microdeutopus anomalus;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microdeutopus gryllotalpa;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;X;X;;X;X;X;X;;
Microdeutopus versiculatus;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronecta griseola;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Micronecta minutissima;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Microphthalmus aberrans;X;;X;;X;X;X;;;;;;;;;;;;;;X;;;X;;X;;;;;;;
Microphthalmus listensis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microphthalmus sczelkowii;X;X;X;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Microphthalmus similis;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microporella ciliata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microprotopus maculatus;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micropsectra curvicornis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Micropsectra praecox;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Microspio mecznikowianus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microstomum lineare;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;X;
Microtendipes chloris;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;X;;;;X;
Microtendipes pedellus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Micrura baltica;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Micrura fasciolata;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mimachlamys varia;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minona baltica;X;;;;;;;;;X;X;;;;;;X;;;;;;;;;;;;;;;;
Minuspio multibranchiata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modiolarca subpicta;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Modiolus barbatus;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modiolus modiolus;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Molanna albicans;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Molanna angustata;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;;;;X;
Molgula citrina;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Molgula manhattensis;X;;;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Molgula occulta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monocorophium insidiosum;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;X;X;;X;X;X;X;;
Monoculodes carinatus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monoculodes packardi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monoculodes pallidus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monoculopsis longicornis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monodiamesa bathyphila;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Monophorus perversus;;;;;X;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Monoporeia affinis;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;
Monopseudocuma gilsoni;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monopylephorus rubroniveus;;;;;;X;;;;;;;;;;;;;;;;X;;X;X;;;;X;;X;;
Montacuta substriata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Munna minuta;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Musculium lacustre;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;X;
Musculus discors;X;;X;X;X;X;X;;;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;
Musculus niger;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Mya arenaria;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Mya truncata;X;X;X;;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Mycale (Mycale) lingua;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myosotella myosotis;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Myrianida prolifera;;;X;;X;X;;;;;;;;;;;;;;;;;X;;;X;;;;;;;
Myrianida quindecimdentata;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myriochele danielsseni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myriochele heeri;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mysia undata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mysis mixta;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;;;X;;X;;;;;;;
Mysis oculata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mysis relicta;;;;;;;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;
Mystacides azurea;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;X;;;;;
Mystacides longicornis;;;;;;;;;;;;;;;;X;X;;X;;;;;;;;;X;;;;;
Mystacides niger;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Mystides southerni;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
